Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
580.645	1028
580.773	1026
580.901	1025
581.03	1022
581.158	1026
581.286	1023
581.414	1022
581.542	1025
581.671	1026
581.799	1018
581.927	1023
582.055	1028
582.183	1016
582.312	1029
582.44	1030
582.568	1030
582.696	1016
582.824	1024
582.952	1025
583.08	1025
583.209	1028
583.337	1022
583.465	1026
583.593	1025
583.721	1028
583.849	1028
583.977	1021
584.105	1023
584.233	1025
584.362	1027
584.49	1023
584.618	1019
584.746	1020
584.874	1027
585.002	1024
585.13	1026
585.258	1027
585.386	1026
585.514	1023
585.642	1026
585.77	1026
585.898	1025
586.026	1029
586.154	1023
586.282	1027
586.41	1028
586.538	1023
586.666	1022
586.794	1027
586.922	1029
587.05	1026
587.178	1024
587.306	1035
587.434	1028
587.562	1029
587.69	1031
587.818	1031
587.946	1040
588.074	1030
588.202	1028
588.33	1024
588.458	1026
588.586	1029
588.714	1028
588.842	1031
588.97	1032
589.097	1025
589.225	1026
589.353	1026
589.481	1032
589.609	1027
589.737	1037
589.865	1027
589.993	1029
590.121	1032
590.248	1027
590.376	1035
590.504	1035
590.632	1038
590.76	1030
590.888	1032
591.015	1035
591.143	1032
591.271	1029
591.399	1031
591.527	1032
591.655	1028
591.782	1035
591.91	1026
592.038	1029
592.166	1037
592.294	1031
592.421	1041
592.549	1031
592.677	1034
592.805	1031
592.932	1035
593.06	1034
593.188	1034
593.316	1030
593.443	1037
593.571	1033
593.699	1034
593.826	1044
593.954	1041
594.082	1040
594.21	1031
594.337	1038
594.465	1032
594.593	1035
594.72	1030
594.848	1043
594.976	1038
595.103	1038
595.231	1043
595.359	1045
595.486	1034
595.614	1042
595.742	1047
595.869	1042
595.997	1044
596.124	1046
596.252	1044
596.38	1041
596.507	1042
596.635	1038
596.763	1047
596.89	1043
597.018	1033
597.145	1042
597.273	1045
597.4	1044
597.528	1034
597.656	1035
597.783	1046
597.911	1043
598.038	1047
598.166	1039
598.293	1044
598.421	1043
598.548	1047
598.676	1052
598.803	1046
598.931	1049
599.058	1044
599.186	1049
599.313	1046
599.441	1041
599.568	1043
599.696	1053
599.823	1049
599.951	1047
600.078	1039
600.206	1053
600.333	1051
600.461	1062
600.588	1047
600.715	1053
600.843	1055
600.97	1049
601.098	1054
601.225	1049
601.353	1053
601.48	1049
601.607	1049
601.735	1053
601.862	1047
601.99	1044
602.117	1044
602.244	1048
602.372	1055
602.499	1054
602.626	1042
602.754	1049
602.881	1055
603.008	1054
603.136	1060
603.263	1049
603.39	1060
603.518	1054
603.645	1055
603.772	1058
603.9	1065
604.027	1058
604.154	1055
604.281	1060
604.409	1054
604.536	1055
604.663	1065
604.791	1059
604.918	1066
605.045	1054
605.172	1065
605.3	1065
605.427	1065
605.554	1058
605.681	1051
605.809	1065
605.936	1057
606.063	1071
606.19	1061
606.317	1061
606.445	1060
606.572	1069
606.699	1069
606.826	1065
606.953	1067
607.08	1066
607.208	1070
607.335	1074
607.462	1067
607.589	1068
607.716	1073
607.843	1074
607.97	1064
608.098	1069
608.225	1074
608.352	1071
608.479	1065
608.606	1067
608.733	1069
608.86	1070
608.987	1073
609.114	1074
609.241	1077
609.369	1064
609.496	1069
609.623	1069
609.75	1065
609.877	1079
610.004	1079
610.131	1075
610.258	1076
610.385	1073
610.512	1088
610.639	1068
610.766	1076
610.893	1089
611.02	1077
611.147	1078
611.274	1077
611.401	1074
611.528	1077
611.655	1083
611.782	1074
611.909	1094
612.036	1070
612.163	1083
612.29	1070
612.417	1077
612.543	1092
612.67	1093
612.797	1087
612.924	1086
613.051	1097
613.178	1088
613.305	1086
613.432	1093
613.559	1080
613.686	1090
613.813	1100
613.939	1083
614.066	1084
614.193	1092
614.32	1096
614.447	1100
614.574	1099
614.701	1089
614.827	1095
614.954	1103
615.081	1091
615.208	1092
615.335	1100
615.461	1100
615.588	1103
615.715	1111
615.842	1098
615.969	1111
616.095	1103
616.222	1120
616.349	1099
616.476	1098
616.602	1105
616.729	1109
616.856	1095
616.983	1120
617.109	1102
617.236	1092
617.363	1104
617.49	1114
617.616	1102
617.743	1116
617.87	1104
617.996	1113
